file,sha256,bytes,lines,owner,role,unsafe_sites,allocation_copy_sites,global_or_discovery_sites,reachability,contracts,lifetime,cost,review_status,disposition,evidence
.github/workflows/source-checks.yml,61fd2454cddc1e98734d7699a1020e2cadd1a1c996ee5bfc641be92e3502691e,1509,41,.github,build/config,0,0,0,,,,,pending,investigate,
.github/workflows/unity-consumer.yml,51d27f46c1c64ebcaa457406cce56a05cccb29e09f979f11241bdeda2c90181b,555,19,.github,build/config,0,0,0,,,,,pending,investigate,
.vscode/settings.json,f5555599150c7a7b95fee32280db501560b0a657f445b64639e4f7c11ad46753,113,6,.vscode,build/config,0,0,0,,,,,pending,investigate,
BEVY_PROCEDURAL_MATERIAL_STUDIO_PLAN.md,bb3bc391acf616d1b9317285d85be0169aff00bede04f5d1021b4a2075e9c611,24852,558,BEVY_PROCEDURAL_MATERIAL_STUDIO_PLAN.md,documentation,0,0,0,,,,,pending,investigate,
CODEBASE_RATIONALIZATION_AND_UNITY_PACKAGE_PLAN.md,743cac097d58225a72cd660aa51ce021db996a20b334f3a497c23e95ed842de1,37562,592,CODEBASE_RATIONALIZATION_AND_UNITY_PACKAGE_PLAN.md,documentation,2,0,2,,,,,pending,investigate,
ISLAND_CAVES.md,363de3b0c410352c4547db86a418412d42da79b84d19780587976c64d3b53ac7,24399,390,ISLAND_CAVES.md,documentation,0,0,0,,,,,pending,investigate,
ISLAND_CAVES_PLAN.md,42677eed584689c3e4ebeee1656373ecdcd128f9dbebd338248bcb3abd23f169,36977,594,ISLAND_CAVES_PLAN.md,documentation,0,0,0,,,,,pending,investigate,
README.md,60ff442b2a51f544b1d4dbd14038120f7cfeb2607e76160cbdba8905cac333c0,3503,70,README.md,documentation,0,0,0,,,,,pending,investigate,
RIVERBANK_REEDS_AND_RUSHES_PLAN.md,777bf4be033f6d64747b1c6a1652f846a876758f4417ad6bf50aaa3dafbce3e4,4490,88,RIVERBANK_REEDS_AND_RUSHES_PLAN.md,documentation,0,0,0,,,,,pending,investigate,
RIVER_HYDRAULIC_CROSS_SECTION_PLAN.md,2877b7cfcd3906eaf55459dbfbe64cf1fb85ea04279ceac404b8365852b99715,4582,94,RIVER_HYDRAULIC_CROSS_SECTION_PLAN.md,documentation,0,0,0,,,,,pending,investigate,
